date,no2_mean,no2_min,no2_max,no2_stdev,no2_sample_count,no2_nodata_count,co_mean,co_min,co_max,co_stdev,co_sample_count,co_nodata_count,o3_mean,o3_min,o3_max,o3_stdev,o3_sample_count,o3_nodata_count,so2_mean,so2_min,so2_max,so2_stdev,so2_sample_count,so2_nodata_count
2026-05-24,,,,,2,2,0.037001367658376694,0.037001367658376694,0.037001367658376694,0.0,2,0,0.116439089179039,0.116439089179039,0.116439089179039,0.0,2,0,,,,,2,2
2026-05-25,,,,,2,2,0.032175950706005096,0.032175950706005096,0.032175950706005096,0.0,2,0,0.11654302477836609,0.11654302477836609,0.11654302477836609,0.0,2,0,,,,,2,2
2026-05-26,,,,,2,2,0.03414921090006828,0.03414921090006828,0.03414921090006828,0.0,2,0,0.11756029352545738,0.11755648255348206,0.11756410449743271,3.810971975326538e-06,2,0,9.192737707053311e-06,9.192737707053311e-06,9.192737707053311e-06,0.0,2,1
2026-05-27,,,,,2,2,0.03137017413973808,0.03137017413973808,0.03137017413973808,0.0,2,0,0.11656215041875839,0.11568891257047653,0.11743538826704025,0.0008732378482818604,2,0,,,,,2,2
2026-05-28,,,,,2,2,0.028153713792562485,0.028153713792562485,0.028153713792562485,0.0,2,0,0.11722967773675919,0.11722967773675919,0.11722967773675919,0.0,2,0,,,,,2,2
2026-05-29,,,,,2,2,0.03232140839099884,0.03232140839099884,0.03232140839099884,0.0,2,0,0.11897710338234901,0.1184275671839714,0.11952663958072662,0.0005495361983776093,2,0,,,,,2,2
2026-05-30,,,,,2,2,,,,,2,2,0.11949875950813293,0.11949875950813293,0.11949875950813293,0.0,2,0,,,,,2,2
2026-05-31,4.839006578549743e-05,4.839006578549743e-05,4.839006578549743e-05,0.0,2,0,0.030376460403203964,0.029370557516813278,0.03138236328959465,0.001005902886390686,2,0,0.11596135795116425,0.11596135795116425,0.11596135795116425,0.0,2,0,-2.479770773788914e-05,-2.479770773788914e-05,-2.479770773788914e-05,0.0,2,0
2026-06-01,4.411536792758852e-05,4.411536792758852e-05,4.411536792758852e-05,0.0,2,0,0.027612466365098953,0.027612466365098953,0.027612466365098953,0.0,2,0,0.11565101146697998,0.11565101146697998,0.11565101146697998,0.0,2,0,-0.0001681293942965567,-0.0001681293942965567,-0.0001681293942965567,0.0,2,0
2026-06-02,8.361700747627765e-05,8.361700747627765e-05,8.361700747627765e-05,0.0,2,0,,,,,2,2,0.11624819040298462,0.11624819040298462,0.11624819040298462,0.0,2,0,0.0002614381373859942,0.0002614381373859942,0.0002614381373859942,0.0,2,0
2026-06-03,,,,,2,2,0.023630544543266296,0.023630544543266296,0.023630544543266296,0.0,2,0,0.11490233987569809,0.11490233987569809,0.11490233987569809,0.0,2,0,,,,,2,2
2026-06-04,7.059863128233701e-05,7.059863128233701e-05,7.059863128233701e-05,0.0,2,0,0.029731575399637222,0.029731575399637222,0.029731575399637222,0.0,2,0,0.11663123965263367,0.11663123965263367,0.11663123965263367,0.0,2,0,-0.00026067200815305114,-0.00026067200815305114,-0.00026067200815305114,0.0,2,0
2026-06-05,4.359956437838264e-05,3.809093323070556e-05,4.910819552605972e-05,5.508631147677079e-06,2,0,0.0290996041148901,0.0290996041148901,0.0290996041148901,0.0,2,0,0.11781968548893929,0.11767514795064926,0.11796422302722931,0.0001445375382900238,2,0,0.00013701256102649495,0.00012980827887076885,0.00014421684318222106,7.204282155726105e-06,2,0
2026-06-06,2.8739465051330626e-05,2.8739465051330626e-05,2.8739465051330626e-05,0.0,2,0,0.022087613120675087,0.022009259089827538,0.022165967151522636,7.835403084754944e-05,2,0,0.1188541129231453,0.1188541129231453,0.1188541129231453,0.0,2,0,0.0005736545426771045,0.0005736545426771045,0.0005736545426771045,0.0,2,0
2026-06-07,3.971809201175347e-05,3.971809201175347e-05,3.971809201175347e-05,0.0,2,0,0.027515871450304985,0.024128934368491173,0.030902808532118797,0.0033869370818138123,2,0,0.1150982454419136,0.1150982454419136,0.1150982454419136,0.0,2,0,-7.82172501203604e-05,-7.82172501203604e-05,-7.82172501203604e-05,0.0,2,0
2026-06-08,5.963675903331023e-05,5.147212141309865e-05,6.78013966535218e-05,8.164637620211579e-06,2,0,0.02855200134217739,0.02855200134217739,0.02855200134217739,0.0,2,0,0.11861258745193481,0.11844218522310257,0.11878298968076706,0.00017040222883224487,2,0,0.00018482228188076988,-0.00013534915342461318,0.0005049937171861529,0.00032017143530538306,2,0
2026-06-09,7.868943794164807e-05,7.868943794164807e-05,7.868943794164807e-05,0.0,2,0,0.032652225345373154,0.032652225345373154,0.032652225345373154,0.0,2,0,0.11897854506969452,0.11897854506969452,0.11897854506969452,0.0,2,0,-0.0009718303917907178,-0.0009718303917907178,-0.0009718303917907178,0.0,2,0
2026-06-10,6.517774454550818e-05,6.517774454550818e-05,6.517774454550818e-05,0.0,2,0,0.035276148468256,0.035276148468256,0.035276148468256,0.0,2,0,0.11808726191520691,0.11808726191520691,0.11808726191520691,0.0,2,0,0.0002124487655237317,0.0002124487655237317,0.0002124487655237317,0.0,2,0
2026-06-11,7.284785897354595e-05,7.247633766382933e-05,7.321938028326258e-05,3.71521309716627e-07,2,0,0.03048505075275898,0.03048505075275898,0.03048505075275898,0.0,2,0,0.11795906722545624,0.1179390400648117,0.11797909438610077,2.002716064453125e-05,2,0,0.0002849045195034705,-2.4229651899076998e-05,0.000594038690906018,0.0003091341714025475,2,0
2026-06-12,,,,,2,2,,,,,2,2,0.11142924427986145,0.11142924427986145,0.11142924427986145,0.0,2,0,,,,,2,2
2026-06-13,7.92314313002862e-05,7.92314313002862e-05,7.92314313002862e-05,0.0,2,0,0.022891974076628685,0.022891974076628685,0.022891974076628685,0.0,2,0,0.11247065663337708,0.11247065663337708,0.11247065663337708,0.0,2,0,0.0001963692920980975,0.0001963692920980975,0.0001963692920980975,0.0,2,0
2026-06-14,3.31222872773651e-05,3.31222872773651e-05,3.31222872773651e-05,0.0,2,0,,,,,2,2,0.11171575635671616,0.11171575635671616,0.11171575635671616,0.0,2,0,-8.503357094014063e-06,-8.503357094014063e-06,-8.503357094014063e-06,0.0,2,0
2026-06-15,7.086254481691867e-05,7.086254481691867e-05,7.086254481691867e-05,0.0,2,0,0.026571741327643394,0.026571741327643394,0.026571741327643394,0.0,2,0,0.11333628743886948,0.11333628743886948,0.11333628743886948,0.0,2,0,-0.0002986013423651457,-0.0002986013423651457,-0.0002986013423651457,0.0,2,0
2026-06-16,5.042844350100495e-05,5.042844350100495e-05,5.042844350100495e-05,0.0,2,0,0.02716800756752491,0.02716800756752491,0.02716800756752491,0.0,2,0,0.11504843831062317,0.11504843831062317,0.11504843831062317,0.0,2,0,-0.0003801134880632162,-0.0003801134880632162,-0.0003801134880632162,0.0,2,0
2026-06-17,5.688991950592026e-05,5.562996739172377e-05,5.8149871620116755e-05,1.2599521141964942e-06,2,0,0.02642827481031418,0.02583768032491207,0.027018869295716286,0.0005905944854021072,2,0,0.11550851911306381,0.11546552926301956,0.11555150896310806,4.298985004425049e-05,2,0,0.00020027701975777745,-0.00016355502884835005,0.000564109068363905,0.0003638320486061275,2,0
2026-06-18,6.922279862919822e-05,6.378594844136387e-05,7.465964881703258e-05,5.436850187834352e-06,2,0,,,,,2,2,0.11663578450679779,0.11575577408075333,0.11751579493284225,0.0008800104260444641,2,0,-1.5638834156561643e-05,-0.00014598367852158844,0.00011470601020846516,0.0001303448443650268,2,0
2026-06-19,6.431776273529977e-05,6.431776273529977e-05,6.431776273529977e-05,0.0,2,0,,,,,2,2,0.1174512505531311,0.1174512505531311,0.1174512505531311,0.0,2,0,0.000707896426320076,0.000707896426320076,0.000707896426320076,0.0,2,0
2026-06-20,4.0512937630410306e-05,3.8698915886925533e-05,4.232695937389508e-05,1.8140217434847727e-06,2,0,0.029259104281663895,0.029259104281663895,0.029259104281663895,0.0,2,0,0.11924919113516808,0.11853280663490295,0.1199655756354332,0.0007163845002651215,2,0,0.0003982022462878376,0.00026291777612641454,0.0005334867164492607,0.0001352844701614231,2,0
2026-06-21,2.8187681891722605e-05,2.8187681891722605e-05,2.8187681891722605e-05,0.0,2,0,0.03083234280347824,0.03083234280347824,0.03083234280347824,0.0,2,0,0.11952255666255951,0.11952255666255951,0.11952255666255951,0.0,2,0,-0.00023863677051849663,-0.00023863677051849663,-0.00023863677051849663,0.0,2,0
2026-06-22,1.9948012777604163e-05,1.9948012777604163e-05,1.9948012777604163e-05,0.0,2,0,0.023979008197784424,0.023979008197784424,0.023979008197784424,0.0,2,0,0.11810220032930374,0.11810220032930374,0.11810220032930374,0.0,2,0,0.00016551819862797856,0.00016551819862797856,0.00016551819862797856,0.0,2,0
2026-06-23,,,,,2,2,0.02886317204684019,0.027828995138406754,0.029897348955273628,0.0010341769084334373,2,0,0.11791114881634712,0.11717226356267929,0.11865003407001495,0.0007388852536678314,2,0,-2.4384869902860373e-05,-9.386917372466996e-05,4.5099433918949217e-05,6.948430382180959e-05,2,0
2026-06-24,4.277767948224209e-05,3.9706428651697934e-05,4.584893031278625e-05,3.071250830544159e-06,2,0,0.026125773787498474,0.026125773787498474,0.026125773787498474,0.0,2,0,0.11434910073876381,0.11389341950416565,0.11480478197336197,0.0004556812345981598,2,0,-1.4946155715733767e-05,-0.00038740411400794983,0.0003575118025764823,0.00037245795829221606,2,0
2026-06-25,5.079543552710675e-05,5.079543552710675e-05,5.079543552710675e-05,0.0,2,0,0.032192837446928024,0.032192837446928024,0.032192837446928024,0.0,2,0,0.11544429510831833,0.11544429510831833,0.11544429510831833,0.0,2,0,7.530065340688452e-05,7.530065340688452e-05,7.530065340688452e-05,0.0,2,0
2026-06-26,3.919187292922288e-05,3.919187292922288e-05,3.919187292922288e-05,0.0,2,0,0.028126997873187065,0.027835743501782417,0.028418252244591713,0.00029125437140464783,2,0,0.11494168639183044,0.11494168639183044,0.11494168639183044,0.0,2,0,0.0005688032251782715,0.0005688032251782715,0.0005688032251782715,0.0,2,0
2026-06-27,5.1846007409039885e-05,5.1846007409039885e-05,5.1846007409039885e-05,0.0,2,0,0.0287347249686718,0.0287347249686718,0.0287347249686718,0.0,2,0,0.11273731291294098,0.11273731291294098,0.11273731291294098,0.0,2,0,0.00016547349514439702,0.00016547349514439702,0.00016547349514439702,0.0,2,0
2026-06-28,7.561116944998503e-05,6.529577512992546e-05,8.59265637700446e-05,1.0315394320059568e-05,2,0,0.03256702795624733,0.03256702795624733,0.03256702795624733,0.0,2,0,0.11411788687109947,0.11320295929908752,0.11503281444311142,0.0009149275720119476,2,0,0.0003032486274605617,0.0002775236207526177,0.00032897363416850567,2.5725006707943976e-05,2,0
2026-06-29,7.487082621082664e-05,7.487082621082664e-05,7.487082621082664e-05,0.0,2,0,0.02022203430533409,0.01939866878092289,0.021045399829745293,0.0008233655244112015,2,0,0.11546344310045242,0.11546344310045242,0.11546344310045242,0.0,2,0,0.00046721319085918367,0.00046721319085918367,0.00046721319085918367,0.0,2,0
2026-06-30,9.326158397016115e-05,8.696154691278934e-05,9.956162102753296e-05,6.30003705737181e-06,2,0,,,,,2,2,0.11740774288773537,0.11679490655660629,0.11802057921886444,0.0006128363311290741,2,0,0.0003637549962149933,0.0001022920769173652,0.0006252179155126214,0.0002614629192976281,2,0
2026-07-01,9.757331281434745e-05,9.757331281434745e-05,9.757331281434745e-05,0.0,2,0,0.03329608216881752,0.03329608216881752,0.03329608216881752,0.0,2,0,0.11893197894096375,0.11893197894096375,0.11893197894096375,0.0,2,0,-0.0012707405257970095,-0.0012707405257970095,-0.0012707405257970095,0.0,2,0
2026-07-02,8.532834181096405e-05,8.264528878498822e-05,8.801139483693987e-05,2.6830530259758234e-06,2,0,0.03060735296458006,0.029465017840266228,0.03174968808889389,0.0011423351243138313,2,0,0.1165015771985054,0.1160154864192009,0.1169876679778099,0.0004860907793045044,2,0,-5.824040272273123e-06,-0.00018180218467023224,0.000170154104125686,0.0001759781443979591,2,0
2026-07-03,7.493580778827891e-05,7.493580778827891e-05,7.493580778827891e-05,0.0,2,0,0.027952025644481182,0.027250222861766815,0.02865382842719555,0.0007018027827143669,2,0,0.1173713356256485,0.1173713356256485,0.1173713356256485,0.0,2,0,0.00013505612150765955,0.00013505612150765955,0.00013505612150765955,0.0,2,0
2026-07-04,3.3822416298789904e-05,3.3822416298789904e-05,3.3822416298789904e-05,0.0,2,0,0.026549136266112328,0.026549136266112328,0.026549136266112328,0.0,2,1,0.11760002374649048,0.11760002374649048,0.11760002374649048,0.0,2,0,-5.003424666938372e-05,-5.003424666938372e-05,-5.003424666938372e-05,0.0,2,0
2026-07-05,1.5069867004058324e-05,1.5069867004058324e-05,1.5069867004058324e-05,0.0,2,0,,,,,2,2,0.116485096514225,0.116485096514225,0.116485096514225,0.0,2,0,-0.00013756757834926248,-0.00013756757834926248,-0.00013756757834926248,0.0,2,0
2026-07-06,4.8288919060723856e-05,4.8288919060723856e-05,4.8288919060723856e-05,0.0,2,0,0.030592428520321846,0.02953513339161873,0.03164972364902496,0.0010572951287031174,2,0,,,,,2,2,,,,,2,2
2026-07-07,,,,,2,2,0.03295666724443436,0.03295666724443436,0.03295666724443436,0.0,2,0,0.11598701775074005,0.11598701775074005,0.11598701775074005,0.0,2,0,,,,,2,2
